==12856== NVPROF is profiling process 12856, command: bin/ex01
Size: 99999, numBlks: 391, numThds: 256, mult: 100096
Inicio: qtde=100000, dt=1e-06, dx=1e-05, dx²=1e-10, kappa=4.5e-05, const=0.45
Iteracoes previstas: 10000
	HostToDevice : 0.0001211
	Inicializacao: 0.000440784
	Tempo kernels: 0.114958 
	Tempo medio  : 1.14947e-05 
	DeviceToHost : 0.0118083 
	Tempo Total  : 0.127246 
Maior valor = 99.8486
==12856== Profiling application: bin/ex01
==12856== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
408.53ms  9.6960us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [665]
408.54ms  9.7280us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [670]
408.55ms  9.8240us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [675]
408.56ms  9.8240us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [680]
408.58ms  9.7600us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [685]
408.59ms  9.9200us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [690]
408.60ms  9.7920us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [695]
408.61ms  9.8880us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [700]
408.63ms  9.9200us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [705]
408.64ms  9.8880us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [710]
408.65ms  9.8240us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [715]
408.67ms  9.8240us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [720]
408.68ms  9.7600us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [725]
408.69ms  9.8560us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [730]
408.70ms  9.8880us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [735]
408.72ms  9.8880us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [740]
408.73ms  9.7280us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [745]
408.74ms  9.8240us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [750]
408.75ms  9.8560us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [755]
408.77ms  9.9520us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [760]
408.78ms  9.8250us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [765]
408.79ms  9.8240us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [770]
408.80ms  9.9520us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [775]
408.82ms  9.7600us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [780]
408.83ms  9.8880us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [785]
408.84ms  9.7600us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [790]
408.86ms  10.016us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [795]
408.87ms  9.8250us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [800]
408.88ms  9.9520us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [805]
408.89ms  9.8240us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [810]
408.91ms  9.7920us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [815]
408.92ms  9.9200us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [820]
408.93ms  9.8880us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [825]
408.94ms  9.9520us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [830]
408.96ms  9.8570us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [835]
408.97ms  9.7920us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [840]
408.98ms  9.9200us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [845]
409.00ms  9.8880us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [850]
409.01ms  9.8240us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [855]
409.02ms  9.8880us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [860]
409.03ms  9.8240us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [865]
409.05ms  9.7930us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [870]
409.06ms  9.8560us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [875]
409.07ms  9.9200us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [880]
409.08ms  9.8240us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [885]
409.10ms  9.7600us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [890]
409.11ms  9.9520us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [895]
409.12ms  9.8240us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [900]
409.14ms  9.7930us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [905]
409.15ms  10.048us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [910]
409.16ms  9.8880us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [915]
409.17ms  9.8560us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [920]
409.19ms  10.016us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [925]
409.20ms  9.8240us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [930]
409.21ms  9.9200us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [935]
409.22ms  9.7610us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [940]
409.24ms  9.8880us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [945]
409.25ms  9.7920us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [950]
409.26ms  9.9200us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [955]
409.27ms  9.7280us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [960]
409.29ms  9.8240us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [965]
409.30ms  9.7600us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [970]
409.31ms  9.8890us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [975]
409.33ms  9.8880us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [980]
409.34ms  9.8560us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [985]
409.35ms  9.7920us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [990]
409.36ms  9.9200us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [995]
409.38ms  9.7920us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [1000]
409.39ms  9.8880us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [1005]
409.40ms  9.8250us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [1010]
409.41ms  9.9840us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [1015]
409.43ms  9.8560us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [1020]
409.44ms  9.8560us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [1025]
409.45ms  9.9200us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [1030]
409.46ms  9.7920us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [1035]
409.48ms  9.7600us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [1040]
409.49ms  9.8250us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [1045]
